state,city,region
Amnat Charoen,Amnat Charoen,Northeast
Ang Thong,Ang Thong,Central
Ang Thong,Pa Mok,Central
Ang Thong,Sam Ko,Central
Bangkok,Bang Bon,Central
Bangkok,Bang Kapi,Central
Bangkok,Bang Khae,Central
Bangkok,Bang Kho Laem,Central
Bangkok,Bang Khun Thian,Central
Bangkok,Bang Na,Central
Bangkok,Bang Rak,Central
Bangkok,Bang Sue,Central
Bangkok,Bangkok,Central
Bangkok,Bangkok Yai,Central
Bangkok,Chatuchak,Central
Bangkok,Chom Thong,Central
Bangkok,Din Daeng,Central
Bangkok,Don Mueang,Central
Bangkok,Huai Khwang,Central
Bangkok,Khan Na Yao,Central
Bangkok,Khlong Sam Wa,Central
Bangkok,Khlong San,Central
Bangkok,Lat Phrao,Central
Bangkok,Nong Khaem,Central
Bangkok,Pathum Wan,Central
Bangkok,Phaya Thai,Central
Bangkok,Phra Khanong,Central
Bangkok,Phra Nakhon,Central
Bangkok,Ratchathewi,Central
Bangkok,Sai Mai,Central
Bangkok,Samphanthawong,Central
Bangkok,Saphan Sung,Central
Bangkok,Sathon,Central
Bangkok,Taling Chan,Central
Bangkok,Thawi Watthana,Central
Bangkok,Thung Khru,Central
Bangkok,Wang Thonglang,Central
Bangkok,Watthana,Central
Buriram,Buri Ram,Northeast
Buriram,Chamni,Northeast
Buriram,Lam Plai Mat,Northeast
Buriram,Nang Rong,Northeast
Buriram,Nong Ki,Northeast
Chachoengsao,Ban Pho,East
Chachoengsao,Bang Pakong,East
Chachoengsao,Chachoengsao,East
Chachoengsao,Plaeng Yao,East
Chai Nat,Chai Nat,Central
Chaiyaphum,Chaiyaphum,Northeast
Chaiyaphum,Chatturat,Northeast
Changwat Bueng Kan,Bueng Kan,Northeast
Changwat Ubon Ratchathani,Si Wichian,Northeast
Changwat Ubon Ratchathani,Ubon Ratchathani,Northeast
Chanthaburi,Chanthaburi,East
Chiang Mai,Ban Pong,North
Chiang Mai,Ban Waen,North
Chiang Mai,Chang Klan,North
Chiang Mai,Chang Moi,North
